ID	Writer's name/ accreditation (where applicable)	Brief subject description
3037	Frank Johnson	Duncan Smith finding it hard to get on TV, asks PM about who will run Iraq, as does Charles Kennedy - Blair sits on the fence.
3038	Isambard Wilkinson in Kuwait City	Aid piles up in warehouses in Kuwait City, aid workers frustrated. Mixed for coalition.
3047	Staff reporter/ no byline	Battle brieifng, not full page so not coded in full, usual montage of maps and images, mixed tone.
3060	Staff reporter/ no byline	Chirac writes to the Queen apologising for anti-UK graffiti on graves - his comments are treated deflatingly here.
3064	Staff reporter/ no byline	On troops own language (also an editorial on this not coded). Rifles are 'gats', helicopters 'wokkas', etc.
3072	Staff reporter/ no byline	Lists 10 'great' sieges in history, from Troy to Stalingrad.
3107	Christopher Bellamy	Aid agencies alarmed at legacy of cluster bombs in urban areas. New munitions change tactics, may even mean war is shorter. (Graphics)
3113	Simon Carr	On not believing Hoon, and again defending Fisk as someone with experience.
3114	David Usborne in New York	Blunkett attacks independent journalists for treating Iraqis as 'moral equivalents', also attacks Al Jazeera.
3123	Rory McCarthy in Qatar and Oliver Burkeman in Washington	At least six US soldiers killed in helicopter crash - no attrib., F/A-18 downed by Iraqis, and another friendly fire incident kills at least one.
3127	Dan Plesch, research fellow at Royal United Services Institute.	Unclear how many hostile forces remain as US troops quickly move through cities. Thousands of troops tied up controlling the roads and supplies.
3132	Owen Boycott	Al Jazeera to stop covering the war inside Iraq in protest at two of their reporters being banned by the regime.
3140	Simon Hoggart	Hoon has something of the country solicitor about him, MPs come together to criticise media, esp Fisk, no sign of Galloway.
3144	Angus Macleod, Scottish correspondent	Labour ministers accused of 'chea politicking' over the war by Jim Wallace, attacking Lib Dems for being against war but supporting troops.
3145	Ben Macintyre	Mostly on debates on countryside issues, though Hoon attacking media comes up towards the end.
3152	General Wesley Clark	Superior technology and intelligence mean that whatever tactics Saddam adopts, the coalition will win battle for Baghdad.
3157	Dr Thomas Struttaford	Further information (after another article) on how the intense heat in Iraq could cause heat exhaustion - this is the medical briefing.
3188	Maddy Masters, mother to a TA female soldier in the Gulf	A mother's report on how she is coping, not really sleeping, sympathy for those who have lost loved ones, support from her friends.
3218	Staff reporter/ no byline	Senior US officer is sacked after telling the Los Angeles Times that crossing the Tigris had been easy the the R. Guard were 'irrelevant'.
3232	Andy McNab	On the options facing Saddam as the coalition closes in on Baghdad, only a matter of time before city falls. (graphic included)
3258	Christopher Bellamy	Iraqi threats of unconventional acts may be propaganda, or maybe there's a trap, likewise the reports on special forces in Baghdad - propaganda?
3263	Patrick Nicholson, communicator with Cafod's Emergency Response Support Team	Water is still a big problem in Umm Qasr. There is a lot of anger and disappointment at 'liberation', though better than Saddam.
3266	Paul Waugh and Ben Russell	Hoon says mothers of children killed by cluster bombs would 'one day' thank Britain, he makes humanitarian argument, roundly condemned.
3268	Martin Newell, poet	Not coded in full because it is a poem. On the grieving man much photograghed at Hillah, crying over coffins of family.
3276	Rory McCarthy in Qatar	Three US special forces and two Iraqis killed by car bombs at checkpoint, pregnant woman killed as she runs from car. Not sure whether suicide attack.
3303	Gen Wesley Clark	Military tasks will not be over until we get WMDs, close off recruitment for Al Qaeda in Iraq and introduce democracy with law and order (pretty pro)
3317	Ben Hoyle	On four British deaths this week, short obituaries.
3321	Ben Hoyle	Massive protests planned in UK, quote by Andrew Murray. Also MPs plan to challenge cost of war in Budget. Arrests in Cairo after demo.
3345	David Rennie, Washington	US commanders hail as courageous the Iraqi lawyer who helped with the rescue of Jessuca Lynch. Down note on other missing PoWs.
3351	Staff reporter/ no byline	Report attacking BBC for not reporting US troops had entered Baghdad when Sky and Fox (other Murdoch orgs) had.
3360	Staff reporter/ no byline	Jokey story about a coalition soldier jumping out of his tank for a quick bite
3387	Major-General Peter Currie / Defence expert, and veteran of Ulster and Bosnia	Brief subject description
Anlaysis of military strategy and battle, pretty mixed saying progress good but future could be tough
3394	Staff reporter/ no byline	Suggestions 'Chemical Ali' may have died in bombing
3395	Staff reporter/ no byline	Tributes paid to killed UK soldier at local soccer match
3396	Staff reporter/ no byline	UK companies unhappy that US firms won big contracts for rebuilding Iraq
3405	Haitham Rashid Wihaib / Saddam's Former Chief of Protocol	Wihaib says Saddam fled Iraq 3 days ago; that 'street Saddam' was double
3425	Chris Bellamy / Professor of military science and doctrine at Cranfield University	Analysis of ongoing military situation, noting US advances and the lack of Iraqi resistance
3466	Staff reporter/ no byline	Short insert consisting almost entirely of a quote from US marine describing his experience of combat
3502	Staff reporter/ no byline	Humour item about squaddie looking for love from Sun readers (beside 'Tonic for the Boys' pic of scantily-clad celeb)
3524	Sir Peter de la Billiere / British Commander in the first Gulf War	Analysis of coalition strategy and ongoing conflict. Positive for coalition.
3544	Christopher Bellamy / Professor of military science and doctrine at Cranfield University	Success of coalition military strategy
3548	Charles Arthur / no location	Daily life of US troops/human interest
3554	Eric Silver / Jerusalem	Palestinian cleric issues fatwa 'banning' Bush and Blair from entering Palestinian territory
3555	Staff reporter/ no byline	Overall bodycount in table/stats format
3584	Angus Macleod / Scottish Political Correspondent (staff writer)	Update on Galloway issue - Labour threatens to remove whip but he continues to attack war and Blair
3588	General Wesley Clark / Supreme Allied Commander Europe 1997-2000	Says friendly fire horrible but increased technology cannot stop it, though we should continue to try. Good angle on difficult topic for coalition.
3592	Clem Cecil / in Moscow	4th story: Russian convoy caught in US-Iraqi crossfire
3604	David Lister / Ireland correspondent	4th story: Belfast summit, focus on N.Ireland peace process
3605	Mark Henderson / Science Correspondent	MPs to recommend new measures to combat terrorism against UK
3609	David Hannay / Lord Hannay of Chiswick is a former British Ambassador to the UN	Argues for significant UN role in reconstruction
3624	Toby Helm / Chief Political Correspondent	Report on Labour moves to take whip from Galloway, and Galloways defiance (incl. Attacks at Blair and the war)
3628	Philip Delves Broughton / in Margaux (staff writer)	4th story: French wine makers look set to suffer because of war and US hostility to all things French
3629	Gerald Butt / in Nicosia	Arab media disappointed that America is winning the war
3674	Staff reporter/ no byline	Prince Charles visits families of soldiers
3675	Staff reporter/ no byline	Stomach bug affects some UK troops
3690	Staff reporter/ no byline	Prince Hassan of Jordan says Iraq war will increase terrorism in Middle East
3718	Staff reporter/ no byline	4th story: UK soldiers angry at 'pro-Iraq' BBC coverage
3731	Richard Edwards / Basra (at end says he is of the 'Western Daily Press')	Iraqi civilians explore the ruins of a former torture chamber (Brutality of regime story)
3732	Christopher Bellamy / Professor of military science and doctrine at Cranfield University	Says peace-keeping is as great a challenge, perhaps greater, than warfare, so attention and skill needs to be paid to the aftermath of war.
3802	Ben Macintyre	Light look at body language and other elements of the Bush/Blair Belfast summit
3808	General Wesley Clark	Speculation on WMDs, more or less assuming some will be found, and saying other rogue states should beware
3664	Haitham Rashid Wihaib, Saddam's former chief of protocol	On Saddam, how he will ask someone to kill 3745	Christopher Bellamy	Smashing command structure could hinder surrender, Fedayeen have proved most resistant. May be at 'tipping' stage.
3752	Simon Carr	Hoon makes jokes about looting, Tam Dalyell calls Blair a war criminal, some MPs object to cluster bombs.
3827	David Lister, Ireland correspondent	Bush in Ulster for summit. No reference to Iraq, on the Northern Ireland peace process.
3833	General Wesley Clark	US troops use 'Thunder Runs' into Baghdad to surprise enemy - they now have initiative but where is leadership and WMDs?
3843	Nick Parker in Basra and David Charter in Qatar	Chemical Ali believed dead, sets the fall of Basra in motion.
3844	Tim Butcher	British troops shoot car thief after he refuses to stop as they face difficulties over law and order.
3863	David Rennie in Washington	US forces have found uniforms of 'paraded' PoWs but not the PoWs themselves.
3868	Neil Tweedie in Qatar	Brits enlist Shia cleric to assist with law & order situation in Basra
3869	Stewart Payne with the Free Iraqi Forces in Southern Iraq	Exile returns to Iraq with exile militia to help coalition. Humanitarian justification story, pro-coalition.
3870	Ben Rooney / Defence staff	Pentagon says 'rolling' nature of progress and victory (no surrender) means it will be tough to find a 'defining moment' to pinpoint the war's end.
3876	Thomas Harding / Ireland Correspondent	Irishman died in Iraq for British Army. Raises question of why he would choose this but never answers it.
3912	Jack Fairweather in Basra	Focuses on one Iraqi who was tortured who wants to help the British.
3916	Neil Tweedie in Qatar	US forces discover rockets they report have chemical warheads, Centcom and Rumsfeld are cautious.
3917	Reuters/AFP	Russia's ambassador to Iraq claims his convoy is hit by US forces near Syria, US do not accept they are to blame.
3922	Toby Harnden in Washington	Ahmad Chalabi flown into southern Iraq by US forces, favoured by the Pentagon but not the State Department.
3923	Adel Darwish, author of Unholy Babylon: The secret history of Saddam's war	Mafia style structure of Saddam's regime imposed ruthless law and order in Iraq, the tasks now facing the Allies are forbidding.
3924	David Rennie in Washington	US wants to prosecute Iraq leaders for war crimes, not the International Criminal Court, which US has 'unsigned' from..
3927	Jonathan Petre, religion correspondent	Archbishop of Cnaterbury says religions should listen to each other at a multi-faith conference in Qatar.
3929	Marcus Warren in New York	Police fire rubber bullets at protesters in Oakland, police considered aggressive. (Photo of woman hit with bullet)
3988	Sir Peter de la Billiere / British commander in the first Gulf War	Success of coalition military strategy, pro-coalition.
4005	Staff reporter/ no byline	Mix of opinions from Iraqis about the toppling of Saddam's regime. Some pro-coalition and some anti.
4024	Sir Andrew Green, Former British ambassador to Syria and Saudi	Coalition should not underestimate task of ruling Iraq, need to impose rule of law and catch Saddam, need stability for investment.
4032	AP	Doctors in Basra stay at home to protect families, they are angry at British forces for not providing security.
4079	General Wesley Clark / no background provided	Title pretty much says it all: argues US military power and technology is invincible
4092	Ben Macintyre	Send up of Bush/Blair Freedom TV
4101	Staff reporter/ no byline	Sarah Michelle Gellar tipped to star as Jessica Lynch in telemovie
4102	Staff reporter/ no byline	ITV  got highest ratings for fall of Baghdad bulletin: 7.7m for News at Nine compared to BBC10's 5.4m
4109	David Rennie in Washington	Preview of battle between global oil companies over Iraqi oil rights. Similar story in The Times.
4110	Damien McElroy in Sherwaree, Northern Iraq	Iraqi defences collapsing and retreating, opening way for Kurdish/coalition advance on Mosul.
4116	Philip Delves Broughton in Paris	France welcomes end of Saddam. Report highlights French diplomatic isolation and in-fighting because they opposed the war.
4117	George Jones / Political Editor	George Galloway welcomes fall of Saddam. Gives him free reign to attack Bush and Blair, so a good one for Galloway.
4124	Alan Philps / Middle East Correspondent	Syria defiant in the face of US diplomatic attacks
4132	Frederick Forsyth / "best-selling author"	Defends Iraq War focusing on Saddam's brutality and says, despite significant challenges, future looks pretty good.
4133	Richard Perle / Pengaton Advisor	Triumphalist screed against war's opponents and celebration of the coalition's military success
4143	Oliver Burkeman in Washington and Richard Norton-Taylor	US special forces and SAS comb Baghdad for Iraq's inner circle. US and UK intelligence disagree over Saddam's fate.
4165	Our Foreign Staff	British army launch weapons amnesty in Basra after concerns of breakdown in law and order.
4204	Sandra Laville in Kuwait	Short story accompanying a photo of Ahmad Chalabi. His nephew urges Blair to back the Pentagon favourite and take action quickly.
4205	George Jones	Gordon Brown promises an extra £64m for reconstruction in the Budget, in addition to £240m already committed for humanitarian aid.
4207	Matt Born	T-shirt featuring al-Sahaf emerges as internet best seller - caption reads 'We are in control'.
4219	Staff reporter/ no byline	Ali expected to die if not treated outside Baghdad/Iraq.
4229	Staff reporter/ no byline	The son of 'Comical Ali', al-Sahaf, works in a Dublin hospital. Report deflating to the Iraqi Info Minister.
4246	Staff reporter/ no byline	ten suspected al-Qaida terrorists held over bombing of USS Cole escaped from jail yesterday - not relevant enough.
4247	Staff reporter/ no byline	Abu Hamza denies he is fighting deportation. Again, no ref to Iraq at all.
4294	Michael White and Sarah Hall	Downing Street and MoD criticise BBC for Gilligan report saying Iraqis are living in more fear now, Rumsfeld also attacks media protrayal of looting.
4358	Staff reporter/ no byline	'Lucky' soldier's (his helmet took four bullets) son meets Wayne Rooney.
4359	Staff reporter/ no byline	UK soldier injured during shoot out with bank robbers in Basra is on the mend.
4370	James Hardy	UN human rights commissioner says detainees at Guantanamo are close to trial or release. Bush promsies he would do something about the situation.
4371	Staff reporter/ no byline	Surgeon working in Dublin is Comical Ali's son - he says he is a good man. (Too light).
4420	Christopher Bellamy	As Iraqi resistance fails to materialise, it looks like Tikrit will fall with a whimper - no chance to use digital battle technology.
4446	Eleanor Robson, fellow of All Souls, Oxford and member of British School of Archaeology in Iraq	She describes the rooms of the museum as they were, says the ruins should be treated like a crime scene, Unesco should be allowed in to investigate.
4478	Philip Smucker in Baghdad	Ba'ath party loyalists in 'flip-flops' fire on Bedouin looters they say are Kuwaitis sent by the Americans - on general lawlessness in Baghdad.
4479	Alan Philips, Middle East correspondent	Supporters of Moqtada al-Sadr surround house of Ayatollah Sistani, giving him 48 hours to leave country.
4483	David Rennie	America has a sample of Saddam's DNA to check if he is dead in the rubble - though they do assume he's still alive.
4484	John Crowley	Information minister's son, who is a doctor in Dublin, defends his dad as a good man. Website dedictaed to his sayings crashed because of popularity.
4549	Staff reporter/ no byline	Iraqi nuclear scientist questioned by US officials after surrendering.
4531	Peter Conradi and Sarah Baxter	Jessica Lynch flies home to America. US troops human interest, good for US.
4541	Michael Clarke / director of the International Policy Institute at King's College London	Applauds military success of coalition but says new problems will arise and need to be dealt with, particularly in law and order and reconstruction.
4561	Sir Andrew Green, former British ambassador to Syria and Saudi Arabia	American neo-cons are confusing Western interests with Israeli interests, mistake to see as extension of problem in Iraq, threats of force are wrong.
4581	Simon Carr	Blair rejects the idea that Syria will be invaded, yet the US has openly used regime change as a reason to invade Iraq - they have plans to continue
4616	Staff reporter/ no byline	Colin Powell says US has no 'war plan' for Syria or Iran
4617	Staff reporter/ no byline	Hunt for prisoners Iraqis believe were sealed underground by the fleeing regime
4618	Staff reporter/ no byline	UK experts will travel to Iraq to help restore ancient relics targeted by looters at the Iraqi National Museum
4632	Simon Hoggart	Not a great deal of content here, just that the anti-war MPs ask about Syria, Blair denies there are plans to invade, Tories heckle C Kennedy.
4646	Ben Macintyre	Blair sees finishing line in sight, insisting on no plans to invade Syria, dismissive of anti-war MPs.
4654	Nicholas Blanford	Expert says its not worth the risk for Syria to harbour Saddam's regime. Commerical relations have improved but there's no love lost.
4673	Michael Smith, Defence Correspondent	SAS have captured Watban Ibrahim Hasan al-Tikriti, Saddam's half brother, Gen Brooks warns of suicide attacks by foreign fighters.
4674	Anton La Guardia, Diplomatic editor	Iran says they'll stop fleeing Iraqis and put them on trial for war crimes. Teheran's statement contrasts with Syria and avoids US ire.
4682	Staff reporter/ no byline	Abu Hamza's website demands execution of captured coalition troops - blocked by Home Office. Not sure if should be coded, not really Iraq pages.
4690	Staff reporter/ no byline	British troops find massive stash of arms near Amara, any of which could be converted for chemical attacks.
4696	Staff reporter/ no byline	US marines shoot dead three Iraqis in Mosul, after police opened fire to stop a bank being looted.
4697	Staff reporter/ no byline	US hails the arrest of terrorist Abu Abbas in Baghdad as proof of a link between terrorism and Saddam.
4698	Staff reporter/ no byline	North Korea and US to hold talks in Beijing to end 6 month crisis over its nuclear weapons programme.
4704	Staff reporter/ no byline	Ali underwent his first plastic surgery in Kuwait yesterday.
4712	Terry Kirby, chief reporter	**Human rights organisations accuse coaliiton of using cluster bombs in populated areas and caring more about oil wells than Iraqi people.
4749	David Leigh	Fresh evidence emerges of banking scandals involving the family of Ahmad Chalabi, brothers convicted in Switzerland.
4771	General Wesley Clark	British contribution was brilliant, especially SAS, comes as no surprise to US, relations between forces good, but need resources and technology.
4738	Arifa Akbar	Abu Abbas arrested by US in Baghdad. Fits US frame on Abbas - wanted terrorist captured = victory in war on terror
4797	Nicholas Watt and Richard Norton-Taylor	UK wants independent/neutral inspection team to hunt for WMDs in Iraq
4826	Staff reporter/ no byline	Very short treatment, right at the bottom of the page, of US shooting of civilians in Mosul and with emphasis on US denial.
4830	Gabriel Rozenberg	War widow (Seymour) story. MoD spin works: reported as scapegoat officer admitting fault and apologising.
4850	Staff reporter/ no byline	Latest in Ali Abbas story
4851	Staff reporter/ no byline	RAF pilots return home
4865	Staff reporter/ no byline	Peasant supposed to have shot down Apache helicopter has been robbed by looters
4882	David Fickling in Adelaide	Report implicitly critical of Australia's decision to contribute troops for the battle phase but withdraw them for the reconstruction, post-war phase
4887	Jamie Wilson	Save the Children charity criticises US for refusing to land an aid plane in Northern Iraq
4910	Our Foreign Staff	Martin Sullivan, head of US panel on cultural property, resigns over looting of museums - he says they should have planned better.
314	Simon Carr	Includes many quotes from the Commons debate, saying he agrees with many of them, except that it will bring peace to Middle East.
