ID	Subject of photo	Photos of particular interest
1887	39	US commando guards airfield, close-up, half face seen under camouflage sheet, gun pointing out towards us.
1887	34	Two helicopters at airfield seized by coalition.
1888	230	Bush and Blair, 'united'.
1892	40	'A menace to their own people..two Iraqi soldiers dressed in black keep watch' One soldier looks at camera, holding gun across lap.
1893	360	Truck with Iraqi people throwing boxes out, media filming on top, caption reads 'made it..truck at Safwan''
1900	62	Us convoy pushes on to Baghdad.
1902	53	Harrier pilot waves as he takes off from Kuwait.
1902	34	'Brave Desert Rats' on roof top in Al Zubayr.
1902	370	'Hero..kiddies cheer squaddie in southern Iraq yesterday'
1902	24	Close up of soldiers launching mortar 'Take that, Saddam'.
1905	38	Sun uses photo of soldier with bullet holes in helmet for new poster, 'stay lucky'
1910	150	US marines search a bus littered with dead Iraqi soldiers. Twenty were killed.
1910	363	Refugees leave Basra by donkey cart.
1912	62	Destroyed Iraqi tanks, as seen before.
1914	230	Photo used to illustrate Bush snubbing Blair.
1918	54	Six trucks wrecked by 'friendly fire' attack by US near Nassiriya. Caption starts 'self-destruction'.
1918	172	US injured, though in hospital blue dressing gowns, not in the field.
1924	242	Mock-up of 24-hr TV screen, as seen in Tell Me Lies.
1931	62	Challenger crews relax on their tanks after their victory.
1934	230	Bush and Blair: 'united we stand', headline; 'shoulder to shoulder for as long as it takes'.
1936	39	Seen before - US marne under camouflage sheet with gun ready.
1938	54	Same scene from friendly fire on US trucks.
1939	364	A family escape bombardment at Basra, challenger tank behind them.
1939	40	Two Iraqi troops on a pick-up in black, here said to be 'fanatical Fedayeen' - earlier photo just refers to them as soldiers.
1943	364	A young girl waits for water and food in Zubayr, surrounded by military uniforms, an Iraqi man's hand on her shoulder, seen in Mail, uncoded article.
1949	172	Sergeant Horgan in hospital in Germany. Orchestrated access to injured soldiers.
1967	230	Bush and Blair at joint press conference, Bush looks on as Blair speaks, caption points to them pledging to fight as long as it takes. V positive for Guardian.
1971	360	Young girl waiting for aid delivery, 'which is arriving in a trickle'. Photo from Indep too.
1973	149	Large photo of Iraqi dead, outside a bus in the desert, papers link them to Republican Guard. One of the more shocking images used.
1973	154	A marine lights a cigarette for a wounded Iraqi man from the bus attack.
1977	54	US marine looks down on trucks destroyed in friendly fire incident.
1981	154	Large photo of Iraqi soldier, carried on stretcher by US medics, to be evacuated.
1982	172	US wounded, in nice clean hospital - same soldier as other articles.
1985	115	Many graphic images from Al Jazeera, posted on website of the Muslim Association  of Britain.
1989	230	Bush and Blair at Camp David 'where careful images were not matched by apparent agreement'.
1998	37	US convoy in orange seen through a Humvee window.
2003	38	UK Soldiers sleep by a tank after their 'engagement.
2010	56	British tanks bar the way to residents of Basra trying to return home.
2019	230	Cosying up at Camp David.
2021	34	Also has large mosaic of Saddam behind the soldier, could be coded for ceebration fo Saddam.
2025	365	Soldier sits leaning against boxes of aid - not sure if UK or US, caption does not really relate to this picture.
2029	363	Extra large photo of refugees leaving Basra, detail seen before of donkey-drawn trap, looks almost super-imposed as dust makes people further back less colourful and indistinguishable.
2031	23	A US soldier runs to take cover in a sandstorm south of Baghdad.
2034	171	Injured US soldiers at a press conference in Germany.
2036	62	Challenger tanks 'at rest' after destroying 14 Iraqi tanks.
2043	63	A US army Paladin artillery vehicle explodes, three pictures show exposion and people running away.
2046	230	Blair in focus, looking on as Bush speaks at summit which 'reinforces their resolve'.
2061	372	People turn out to watch the football in Baghdad.
2064	54	destroyed Iraqi artillery outside of Basra.
2064	372	A civilian hides under a tank.
2065	363	Family flee past a burnt out Iraqi tank.
2073	288	Photos of Dr Salid Mahdi Ammash, known as Chemical Sally, or 'she devil' or 'Dr evil' here!
2094	145	Extreme close-up on young Iraqi girl injured in marketplace raid.
2100	363	Same photo from the Sun, family hold hands as they flee, here it says a British tank gives cover.
2107	285	Full page photo of Rumsfeld, looking in horror, with 'Rumbled' as headline.
2119	288	Photo of 'Chemical Sally' saluting Saddam appears in several papers.
2122	144	Photograph of a very young wounded child
2137	59	Photo of Israeli soldiers accredited to Israeli Defence Forces
2159	59	Battle: other: supply lines
2165	18	Photo-only story of black UK soldier with machine gun in front of abandoned Iraqi tank.
2167	59	Flag-raising in Umm Qasr
2179	360	Photo of Iraqi hands reaching for Red Crescent aid parcels - has nothing to do with story it's attached to but is not separated from it.
2193	999	Iraqi exile in two shots, one medium shot in a reflective pose, the other a small pic of the woman becoming aggressive on BBC's Question Time.
2197	202	Protest visual simply of a hand holding up a small copy of a Koran
2199	360	UK soldier sitting atop many food parcels on board Sir Galahad. Pic used in a few papers.
2206	360	Aid reaching outstretched Iraqi hands
2234	372	Photograph from Unicef
2244	134	Masked Polish soldier grips Iraqi POW, one hand on the back of his head and the other around his tied wrists. Rather degrading photo.
2240	134	British soldier leads Iraqi POW away with one hand behind the man's head and the other around his tied wrists. Rather degrading image.
2251	56	US marine "carries [Iraqi] tot to safety after Iraqi soldiers fire on civilians."
2251	56	US medical worker "cradles" young Iraqi child.
2257	134	Another degrading pic of an Iraqi POW - arms tied behind back, sack/bag over his head, escorted by US marines.
2262	371	Iraqi child in military uniform and holding an AK-47
2273	56	Iraqi civilians, seated with hands raised, caught in crossfire between US and Iraqi troops
2273	144	US soldiers standing over handcuffed wounded Iraqi civilian
2273	144	Injured Iraqi girl, shot in the eye, is attended to by US marines
2273	144	Injured Iraqi girl, shot in the eye, is "carried to safety" by a US soldier. This photo and others like it come up quite a bit.
2273	144	Close up of Iraqi girl, shot in eye
2273	144	Iraqi father cries as he cradles his injured daughter
2281	134	British soldier leads Iraqi POW (described as Fedayeen) away with one hand behind the man's head and the other around his tied wrists. Rather degrading image.
2281	135	Iraqi POWs (described as Fedayeen) with Army-issue green hoods covering their faces.
2293	370	Civilians not exactly waving to coalition troops but are chatting with them in what looks a cordial exchange.
2293	370	Reporter, Sarah Oliver, is pictured among smiling Iraqis in this pic accompanying a 'liberation of Iraq' story.
2309	144	Young Iraqi girl surrounded by US troops cries after being shot in the eye after being caught in crossfire. Same pic used in the Daily Mirror.
2323	203	Protest pic from Berlin, focusing predominantly on a hot-air balloon with a "No War" Greenpeace banner
2334	999	999 for Iraqi exile
2335	999	999 for typical 'victim' pic of African girl starving/without food
2340	39	Photo of US marines lying in mud outside Nasiriya. Used in a number of papers, especially on March 26.
2348	34	Fairly common photo of two US soldiers, the one in front on one knee with machine gun at the ready, patrolling in Nasiriya.
2358	90	Photograph of Kurdish victims of the 1988 chemical attack on Halabja
2361	360	Pic described as Brits delivering aid but really only shows the Brits forming a human wall in front of a large crowd of Iraqis.
2374	288	'Chemical Sally'
2392	56	US Marine aims his rifle at an Iraqi woman, keeping check following the suicide bombing of March 29.
2402	56	Royal Marine hands out treats to Iraqi kids
2405	56	Brit soldier having a tea party with an Iraqi farmer
2407	152	Faces of wounded Iraqi soldiers blurred
2408	15	Royal Marines under fire in Basra
2417	182	US Marines weep for two fallen comrades
2421	56	UK soldier frisks Iraqi civilian beside story on danger of suicide attacks
2430	999	Expatriate Iraqi woman living in UK overjoyed after receiving a phone call from Mirror journalist Anton Antonowicz telling her her family is alive in Baghdad.
2431	144	Young girl, one eye bruised over and her face smeared with blood, looks into the lens
2436	38	Female UK soldier in front of tank. Same pic and story appeared in The Sun on the same day.
2438	62	Challenger tank smashing an Iraqi sentry post
2440	135	Single Iraqi POW but from a distance, being escorted, arms raised, by a UK commando
2442	144	An injured Iraqi man, face bloodied, is carried away from wreckage by three other Iraqis, the closest of which has an irate look on his face.
2442	371	A young Iraqi boy "posing" with his father's rifle and helmet
2453	134	Coalition soldier stands over Iraqi POW who is squatting, arms raised, face blurred.
2454	95	Former US president Lyndon Johnson
2454	91	Library footage of US helicopter taking off in Vietnam War
2454	91	Library footage of B-52 dropping bombs during the Vietnam War
2468	310	Photo of WMD materials accompanying a 'WMD finds' story, but unclear if photo depicts actual materials said to have been found, or library footage of WMDs, or whether materials have been assembled just for the photo.
2477	39	US Marine's helmet bears the message: "Kill 'em all". The caption calls this an "ominous message".
2480	311	Photo of discovered Iraqi gas mask, but in a story saying no WMDs have been found
2482	62	'Artistic' pic of tank and soldier blackened by shadow and silhouetted in front of what appears to be a burning oil well.
2483	285	Large pic of Rumsfeld reading over document, hand pressed on forehead.
2485	60	Cruise missile
2485	59	Kurdish soldier
2486	202	Anti-war banner in Iranian protest depicts a painting of a young Iraqi boy cring and the words: "Bush is children killer". (Painting of actual boy whose tearful image was common in visuals both on TV and in print.)
2489	15	Brit troops under fire near Basra - pic appeared in at least one other paper also
2496	999	UK Muslim vox-pops outside mosque in Birmingham
2499	364	CU of distraught Iraqi toddler among crowd of refugees. Also frontpage pic in The Independent.
2504	999	Five 999 codes for five photos of US and international vox-pops
2505	40	Iraqi soldiers dressed as suicide bombers marching in a military parade
2511	16	Coded as outgoing fire as UK soldiers are in combat position/pose
2512	56	Iraqi woman and child walk past a UK soldier. Focus on the young, timid child.
2517	999	Pic of painting critical of Saddam's regime
2519	288	Pic of what looks like soldiers but which is described as members of the Baath Party, waving their guns in support of Saddam.
2522	18	Pic of UK soldier patrolling in front of destroyed buildings was common in the press for this day.
2526	56	UK soldier aims his machine gun at an Iraqi civilian. Interesting photo, shot through the raised arms of the civilian so the gun aims at the camera.
2530	371	Iraqi child with father's rifle, wearing father's hat. Appeared in another paper, but not as big a picture as in the Telegraph.
2535	59	Kurdish forces on back of truck
2546	321	Hospital scenes after terrorist attack in Israel. On Iraq pages but deals little with Iraq.
2557	56	Troops go to the aid of injured woman on the bridge at Hindiya - could be coded as casualty.
2569	350	Photo is of Saddam meeting George Galloway, they are both smiling.
2580	56	Same photo as the Sun, US troops cautiously approach Iraqi woman, could be coded for Iraqi injury.
2596	134	Iraqi prisoner is shown, though with a hood over his face, he is also holding his four-year son - barbed wire in foreground.
2597	43	Volunteer fighters on their way to Iraq from Beirut.
2604	134	Individual though face is hidden.
2608	56	Very similar photos to those in ther Sun and Mirror of bridge taking. US troops move towards injured woman. Here, the tanks have just fired on a car.
2618	145	Woman on bridge form earlier photos, here the US soldier radios for an ambulance. We can also see a body in the background.
2632	203	Spanish protesters walk to air base near Zaragoza.
2639	56	Same photo again of US troops approaching to help a woman on the bridge, caught in crossfire.
2644	32	Striking photo, in green 'night vision' colour, of soldier firing. We see the sparks flying from over his shoulder.
2646	134	Two photos contrast US and UK military methods. US soldier shown standing over prisoner who is lying in the mud, hands tied and face covered. UK soldier is chatting with Iraqis casually (056).
2648	43	Potential suicide bombers in Beirut hold up passports - seen before.
2652	372	Young boy in battle dress outside a shop in Baghdad.
2673	43	Two Lebanese men show their passports as they leave for Iraq to help the fight against the coalition.
2677	145	Iraqi being treated by British medics in southern Iraq
2696	56	Simliar photo from the bridge, with the US soldier radioing for help for the injured woman.
2719	372	Photo of Iraqi boy, though he is armed and keeping watch for coalition soldiers.
2734	203	Cenotaph in France vandalised with anti-war and anti-UK graffiti, including swastikas.
2747	62	Side of US tank shown with 'apocalypse' painted on. Driver looks to camera.
2748	38	Large photo with editorial, praising the UK troops. A sign of hope seen in their decision to switch helmets for berets.
2767	360	British soldiers fend off crowds as they try to distribute food and water.
2802	177	Man in Hillah grieving over the body of his mother, his image is in most of today's papers - he has lost 15 members of his family.
2802	142	Close up on body of an Iraqi baby, killed in a US attack. One of the most shocking images used, esp. on front page.
2804	202	Young Egyptian protesters hold up pictures of Powell with 'terrorist' written across the bottom.
2811	999	Shows a defiant Iraqi mural near Nassiriyah, Iraqi strangling US.
2826	203	Defaced cenotaph in France.
2829	999	Drawing by Matthew Cook, Times war artist of Military Police checkpoint on the Kuwait border.
2839	177	Same photo as before, grieving man at Hilla.
2857	372	Iraqi girls wait for food handed out by the British. Could be aid delivery.
2888	242	Graphic to show how the special forces rescued Private Lynch.
2957	56	While the three photos show a UK soldier with Iraqi civilians, the subject really is the doctoring of the photo so that the soldier appears to be gesturing at the man with a baby.
2965	62	Helicopter takes off in the sand as trucks make their way to Baghdad.
2971	56	see 2957 - photographer sacked after altering images.
2976	177	This photo is actually of a Palestinian woman whose son was killed on his way to help the Iraqi people.
2997	149	A US soldier looks down from his Humvee at a dead Iraqi soldier, his feet are towards us in the foreground, his face not visible.
3000	62	British tank passes burnt out Iraqi tank - seen before. Caption: 'We pack a powerful punch'
3005	56	Private Matereti Vere of the Black Watch with smiling children - seen before.
2959	24	Same photo on front page of Independent.
3016	24	Similar 'outgoing fire' photo as Indep and Guardian, though not the same.
3026	24	Both photos seen before, outgoing fire from Indep and Guardian front pages, US soldier (039) also familiar (Times front page).
3029	372	Close up of a woman outside a house destroyed in airstrikes.
3035		
3036	56	Close up on UK soldier helping a girl unwrap a sweet - the only humanitarian story on the page is quite anti-UK.
3041	63	Shows allied soldier with night vision goggles, coded for 'technology/weapons'.
3044	40	Rare photo of Iraqi soldier, caption reads 'every loser grins', second image shows another with a hole in his helmet and hair sticking through.
3045	39	Two US soldiers give the thumbs up from tank.
3051	56	Football match in Basra between UK troops and Iraqis.
3053	59	Two UK soldiers stand in front of a 'roaring fire', as retreating Iraqis set fire to a fractured oil supply line
3056	180	Very cute American boy of six cries at his dad's funeral, short text but photos take up most of two pages.
3061	39	Marine poses with a baby he has helped deliver.
3066	40	Iraqi troop photo, also in the Sun, they smile and wave AK-47s.
3066	59	A US ammo truck explodes near Karbala - not sure how this happened.
3068	10	An Iraqi soldier walks past a protrait of Saddam at Baghdad airport.
3070	40	These are only boys, Saddam's Lion Club, a junior Fedayeen, 'prepared to kill for Saddam'.
3076	59	Seen before - UK troops stand before oil fire started by Iraqis.
3076	56	Football match.
3092	18	Seen before, definitely in Mail, Irish Guard taking up position near Basra.
3095	40	Iraqi soldier smiling at camera - used in most papers today.
3096	56	Four pictures from Sky News showing Sistani's supporters confronting US troops in Najaf, commanders decide to back off.
3101	182	US sodliers gather belongings of six comrades killed when their helicopter crashed.
3124	372	Iraqis wave white flags from a bus as they flee Aziziya.
3126	40	Seen before - hole in helmet of Iraqi soldier, hair poking through.
3156	40	Same photo of smiling Iraqi soldier.
3160	56	More football pictures, this time the MoD pool is noted as source.
3167	999	close-up of Brian Krause, firefighter as he 'reflects on his private war with Saddam'
3176	62	US armoured vehicle passes Iraqi vehicle destroyed in fighting - seen before.
3178	40	Familiar photos of Iraqi soldiers, one smiling, the other with hole in the helmet. Another is stood in front of destroyed buildings.
3182	18	Seen before, an Irish Guard keeps lookout by destroyed wall and oil fires.
3184	134	In one of these photos the soldier shows his scars from Saddam's torturers, in another he kisses a British soldier in relief.
3185	39	US soldiers tuck into some food by a bullet-ridden wall in Nasiriyah
3191	38	'Lost in thought', soldier reflecting 'on fallen comrades and the progress of the war'
3194	300	Bush and Laura stride past saluting marines.
3220	352	Actually nine images of the Iraqi leader on walkabout.
3226	262	Code used for an Iraqi held by British over the killing of two soldiers. Not sure which code is best.
3237	290	Beaming pictures of Blair with Cherie from a magazine interview.
3259	999	A mural (seen before) at a Fedayeen camp, depicting a warrior throttling an American captive.
3280	39	Close-up on helmet of US soldier with words from Psalm 23 inscribed on it.
3288	38	Interesting photo of a UK soldier reflected in a pool of oil.
3301	59	UK troops capture Khalid Barour, who they think is responsible for deaths of UK soldiers.
3332	143	 A civilian is dragged to safety by US soldiers as his car blazes in the background
3343	38	UK troops relax, tops off, douse themselves with water. Seen before.
3352	93	One of the prison/torture chamber pics is a montage of four small pics and a scull.
3356	120	Visuals relating to Sun's yellow ribbon/support the troops campaign
3356	401	Visuals showing how to make your own yellow ribbon to support the troops
3356	402	Jockeys
3369	93	Photo depicts a file kept by Iraqis on a victim containing a normal mugshot pre-execution and larger picture showing his disfigured face afterwards. Very disturbing picture.
3369	93	Officer stands near hundreds of open coffins in a large warehouse
3369	93	Skull from prison/torture chamber/mass grave. Same pic used in The Sun.
3369	93	UK soldier stands beside mural in front of which Iraqi soldiers are believed to have been executed by the regime.
3370	145	Wounded Iraqi, faced covered in dry blood, accompanying story of Saddam's brutality. Unclear if civilian shown is from current conflict and even if he is a victim of the regime and not of bombing.
3401	93	Skull photo, same as appeared in Sun and Mirror
3401	93	Four torture chamber pics: a skull, soldier aside many coffins, soldier holding photo of dead executed Iraqi, and Brit beside mural in front of which executions took place
3402	95	Pic of stockpiled food said to be Oil-for-Food aid Saddam refused to deliver to starving Iraqis
3415	111	As usual, Sarah Oliver has a picture of herself beside a column about herself (and her experiences with some Irish soldiers, including her hero Tim Collins)
3418	401	Montage of 15 small photos of assorted battle events in Baghdad. Mostly battle shots. Includes Iraqi soldier's corpse.
3424	93	3 pics from mortuary. One of a pile of bones, one of coffins and one of a file showing before-and-after shots of a dead soldier. Such a file also shown in shot of coffins. Strange since such visuals used to condemn Iraqis in tabloids. Not in Independent.
3453	62	US soldiers try to extinguish a fire in their tank
3470	54	Photo of destroyed Iraqi tank in Baghdad used by most papers
3477	93	3 photos of piles of bones, a skull and a ledger with before-and-after shot of 'tortured and shot' Iraqi. Same or similar pics as those  in the other papers.
3479	281	Small headshot of Galloway, would not have coded at all if not for the large poster of Saddam in the background. (Same pic used in other papers)
3479	205	Iraqi exile Freshta Raper knocks at Galloway's door holding a poster depicting deformities in Kurdish babies caused by CBW
3496	166	Still of US casualty has her standing beside Jessica Lynch, who according to the report was her close friend
3507	281	Galloway seated beside Saddam, both men smiling (pic used in several papers)
3534	46	Large pic of Iraqi woman crying in front of bombed houses. Pretty powerful picture with anti-coalition connotations on a day in which the tabloids celebrated battle victories.
3560	353	US soldiers pose in front of a Saddam picture in Umm Qasr. Photo not directly related to any story on page, but closest to this one.
3562	370	Iraqis waving at UK soldier, who is only visible from his silhouetted hand holding a pistol in the foreground.
3574	59	Royal Engineers blowing up mines
3585	46	Iraqi woman cries in front of a bombed bakery
3590	54	Shot of carnage with spot of blood on camera lens. Shot used in pretty much every paper, alongside shot of Simpson 'under fire'.
3603	999	Report on Rowan Williams attending religious conference in Qatar unrelated to the war. Reporter keeps noting the opulence of his hotel and the fact he is not to visit UK troops. Photo of beaut hotel apparently designed to assist in this implicit attack.
3616	54	Iraqi woman cries in front of destroyed bakery (used in most other papers)
3591	355	US soldier inspecting a presidential palace in Baghdad. Painting of Saddam with horse in background.
3623	200	Naked women confront police outside the Permanent Joint Headquarters of the British Armed Forces in Northwood.
3671	271	Iraqis attack suspected Fedayeen member with pipes and wood. Quite graphic pic.
3682	999	Photo of beret-wearing Frank Spencer from Some Mothers Do 'Av 'Em. Spencer is said to look like al-Sahaf
3721	355	US soldiers patrolling through a presidential palace in Baghdad
3780	140	Blood-covered feet of dead Iraqis, in close-up and in colour
3804	93	Various pics of torture chambers. One is a bathtub with blood around it, another a hook from the ceiling, another a ledger for record keeping of torture and victims.
3804	182	Pic of dead Iraqi said to have been tortured to death by regime. Face and genitals of naked man blurred.
3632	39	US troops relax in one of Saddam's palaces, one has strange expression as he inhales cigarette.
3634	230	Very smiley photo of Bush and Blair.
3637	54	Three photos follow the story of UK troops firing on stolen taxi which refuses to stop.
3662	39	Same photo as the Sun, US troops relax in Saddam's palace.
3737	145	Picture of Ali Ismail Abbas, same photo in the Mirror.
3738	39	Same images of palaces and soldiers relaxing, emphasis again on the gold bathroom fittings.
3740	10	US forces move into the capital, two soldiers stride past palm trees and smoke with guns - image could be from Vietnam.
3755	39	Much used photo of US troops in the presidential palace in Baghdad.having a cigarette break.
3758	167	US troops evacuate a dead comrade, body not really seen.
3758	54	Much used photo of bombed palace.
3759	39	Four photos of US troops in warpaint as they advance into Baghdad's suburbs.
3764	38	Marine Stuart Lawley inside Basra palace, much used today.
3774	91	Wounded soldier in helicopter from Gulf War breaks down as he hears of death by friendly fire in 1991. Why use old image?
3823	39	Much used, US troops take ciggarette break in palace.
3825	300	Smiling Bush holds the young daughter of a Gulf serviceman on arrival in Belfast.
3830	40	Women of the Jaish al-Quds (Army of Jerusalem) march in Tikrit.
3841	362	Women carry water, out of focus soldier in foreground. The story is about shortages rather than aid, and the fact that they have to carry it shows lack, not adequate supplies.
3848	145	Same picture of Ali.
3858	230	Straw and Powell sharing a joke and laughing at the Belfast summit.
3859	118	Common pics relating to US attack on Palestine Hotel. One shows journalists carrying out a colleague wrapped in a sheet, another damage caused to the hotel by the US tank.
3871	270	Looter carries carpet on his back straight past a British tank, soldier visible.
3880	350	Large mural of Saddam speaking on phone with headline/caption underneath: "Hello, is it me you're looking for?"
3882	60	Enormous picture of MOAB bomb spread across 2 pages
3882	242	Graphic detailing the power and effectiveness of the MOAB
3885	182	Mug shot of exiled cleric who returned to Iraq but was then butchered by a mob in Najaf.
3886	59	US soldier walks across road littered with many, many mines. Caption: "Mined how you step"
3887	56	US marine points gun at civilian vehicle (out of shot) at a checkpoint. Context is US fear of suicide attacks following another checkpoint bombing.
3889	353	Sun reporter Paul Thompson sits on famous fallen statue of Saddam the day after it was pulled down. The area is deserted one day after the commotion.
3890	355	2 pics of Saddam's yacht after it was bombed 16 times by coalition jets.
3892	288	Group of 12 mugshots of Iraqi leaders. We usually don't code mugshots but since there are so many of them and together they make up one medium-sized pic of Iraqi leaders, coded as one visual.
3899	401	Dart board with faces of leading antiwar figures superimposed as targets. Chirac is bullseye.
3901	402	Collage of fifteen mugshots of celebrities who supported The Sun's 'Give a Quid to an Iraqi Kid' appeal.
3902	39	Same photo in most papers today, US troops relax in palace.
3904	10	Iraqi soldiers running away across the river.
3905	38	Much used photo of Royal Marine Stuart Lawley in Basra palace.
3906	370	Iraqi women and girls celebrate arrival of British troops near Basra; perfect coalition message photo.
3918	372	An Iraqi woman cowers in a ditch with her two children 'to avoid the attacking American armour'. Seen before.
3926	145	Same photo of Ali.
3934	56	An Iraqi man kisses a US soldier on the cheek, another photo shows a man holding up a boy to kiss a soldier.
3949	56	Same photo as the Sun, Iraqi man kisses US soldier.
3949	353	Five of these photos show the sequence of the statue coming down.
3949	353	Further photo of US soldier putting flag on statue, though this isn't too attacked in story as the troops explain it was from the Pentagon after 9/11 attack.
3958	95	All six photos show the deaths of former leaders or their symbolic end, including Hitler, Mussolini, Berlin Wall, Pol Pot, Ceaucescu and Milosevic.
3964	145	Two small photos of Ali crying
3965	182	Slain cleric Abdul Majid al-Khoei
3968	145	Enormous picture covering most of 2 pages of Ali Abbas lying in hospital. His horrific burns are plainly visible as he looks towards the camera.
3972	59	US soldier crosses mine-covered road. Also used in The Sun.
3972	56	US troops in Baghdad approach a car to search it as another vehicle they destroyed burns in the background.
3973	60	Small photo of MOAB bomb. Not so much precision missile as enormously destructive.
3976	59	Kurdish troops celebrate after capturing Kirkuk
3979	355	Large pic of Saddam's bombed-out yacht in Basra
3982	288	Montage of ten small stills of the 'Iraqi Minister of Misinformation'
3987	59	Women peshmerga fighters celebrate the fall of Kirkuk
3992	182	Butchered cleric Abdul Majid al-Khoei
3993	355	Three pics of Saddam's bombed-out yacht in Basra harbour. One pic coded as post-attack devastation since all 3 pics show varying degrees of destruction done to the yacht.
3994	144	Iraqi translator for Channel 4 runs carrying a six-year-old girl shot by American troops in Baghdad. Story a big one on Channel 4.
3995	355	Marines rest in a lounge chair inside Saddam's palace
3998	59	Female Kurdish peshmerga fighter smiles and gives thumbs up as she passes a cheering crowd of Kurds in Kirkuk.
3998	355	Saddam's bombed-out yacht in Basra harbour
3999	254	The mosque where al-Khoei was assassinated.
3999	250	Abdul Majid al-Khoei, butchered in Najaf, walking with Tony Blair in 2001.
4001	59	Female Kurdish peshmerga fighters celebrate capturing Kirkuk. Article makes context of photo not as 'liberation'-oriented as one might presume.
4002	59	US soldier crosses road littered with many mines. Regulalry used in papers for this day.
4004	353	US flag draped over face of Saddam statue. Article mocks US claims that this act, which used the flag flown at the Pentagon on 9-11, was a coincidence.
4009	401	Montage of a map to illustrate psyops broadcasting of Freedom TV, small stills of Bush and Blair on Freedom TV, and text explaining how it is broadcast.
4015	42	'A trio of Saddam's Fedayeen fighters try to escape the US onslaught'. One man is quite old, not sure if these are 'fedayeen' or local militia men.
4026	353	One of these photos of the statue falling sequence shows a US soldier putting the US flag on the statue of Saddam. (also front page of Mirror).
4027	56	Same photo of Iraqi man kisisng a US soldier.
4033	285	Rumsfeld shows a rare smile - spooky!
4044	270	Close-up of bundles of cash in the arms of a looter. Used in some other papers.
4047	250	Butchered Iraqi exiled cleric Abdel Majid al-Khoei in 2002
4051	270	Various pics on this page (6 in all) depicting various scenes of chaos and anarchy (looting, lawlessness, destruction to mural and Saddam's boat, Fedayeen militants waving guns).
4053	59	Female Kurdish peshmerga fighter gives thumbs up as she passes a crowd of waving Kurds after capturing Kirkuk. Used in a few other papers.
4057	60	Montage or reel of 4 v.small pics showing MOAB being dropped in testing and producing a mushroom cloud.
4064	94	IAEA inspectors in Iraq in February 2003
4067	145	Ali cries, waist up visible. Regularly used, I suspect.
4071	270	CU of looter with an armful of cash (CU on cash, looter's face not visible)
4073	999	Times war artist Matthew Cook draws pic of UK soldier on foot patrol in southern Iraq
4075	355	Assorted pics of Saddam/Uday's 'love palace', some with US soldiers walking about and/or playing up.
4076	59	US marine crosses road littered with many mines. Pic used in most other papers, but this one biggest.
4080	355	Saddam's yacht in Basra harbour after being bombed days earlier by the coalition. Pics and story run in most papers.
4085	353	Kurds celebrate Kurdish capture of Kirkuk by chanting and climbing on and defacing a Saddam statue.
4087	250	Murdered cleric Abdul Majid al-Khoei with Tony Blair before his death.
4096	59	Female Kurdish peshmerga fighters rejoice as they enter Kirkuk. Pic used in at least one other paper.
4103	250	Murdered cleric Abdul Majid al-Khoei. Pic just of him but from much-used photo of him walking beside Tony Blair. This picture, whether with Blair or just focusing on al-Khoei, must have appeared in every paper this day.
4105	353	Photo accompanies story on soldier (pictured) who put US flag over Saddam statue's face. Mentions the flag was the Pentagon flag but doesn't hint much at deliberateness of event. (Rather, it is depicted as marine being 'egged on' by crowd.)
4107	59	Kurdish peshmerga fighters celebrate as they enter Kirkuk
4111	355	Saddam's bombed-out yacht. Seems to be a different pic to that used in most other papers.
4126	134	Iraqi leader Amir Hamudi Al-Sadi (7 of diamonds) after surrendering to US troops
4128	38	Brit commander delivers speech lauding British troops.
4134	402	Sun pin-up Nell McAndrew - "Our Official Forces' Sweetheart" - poses naked (except for flower petals covering privates). Usually don't code these, but this time it accompanies an actual story on the Sun's yellow ribbon campaign.
4136	138	All POW pics are of Jessica Lynch. One a home shot, and two of her being treated for injuries or transported to hospital. Coded POW rather than US casualty.
4141	134	Suspected fighters are stripped and bound - we see close up on one Iraqi's face, with others out of focus. His eyes look directly at the camera
4144	56	Same photo of US soldier being kissed by Iraqi man - in most papers.
4157	353	Same photo as front page of Guardian, of Saddam statue falling as a US soldier looks on.
4157	353	US soldier smothers Saddam statue face with US flag (explained in story as the flag from the Pentagon at 9/11).
4158	39	Not sure of code here, a Marine stands in a bombed palace, contemplating two broken heads of Saddam from broken sculptures.
4160	56	An Iraqi man places pink flowers on an American soldier's head. Unsure what the recation is by the soldiers, theya re heavily armed and seem hesitant.
4166	353	A smiling portrait of Saddam briefly survives the flames at the Ministry of Transport and Communication (could be coded under law and order).
4169	59	No caption but this is a Kurdish fighter placing a KDP flag at a military base (see Guardian p7 (ID 216 on temp database), similar photo.
4175	290	Extreme close up of Blair - headline talks of an emboldened prime minister.
4183	56	Two young boys wave at a line of US troops, though they seem to be chatting among themselves.
4186	56	Quite a collection of images with this story, including an Iraqi giving a US soldier some cigarettes, and the man hitting a soldier on the head with flowers.
4191	56	Both are images seen before, the Iraqi man hitting the soldier with flowers and a young boy being held up to kiss a US soldier.
4192	353	Seen before - US troops triumphantly hold up ripped portrait of Saddam on their armoured vehicle.
4208	353	Extreme close-up of sandaled foot trampling on Saddam's face. All papers emphasise the contempt shown in Arab culture by using the 'dirty' shoe.
4216	134	Iraqi police officer surrenders to UK troops and offers to help restore order
4223	372	Orphans whose home was targeted by looters. Helps generate more sympathy in an article highly critical of the looters and the coalition's failure to intervene.
